	行	单词	token
-------------------------------------------
	0	int	102
	0	a	700
	0	%=	234
	0	2	400
	1	@	62
	5	int	102
	5	main	700
	5	(	200
	5	)	201
	5	{	301
	6	int	102
	6	**	239
	6	a	700
	6	%=	234
	6	0	400
	6	;	303
	6	b	700
	6	=	228
	6	3	400
	6	,	304
	6	c	700
	6	=	228
	6	87asd5	11
	6	;	303
	7	char	105
	7	er	700
	7	=	228
	7	'a'	500
	7	,	304
	7	df	700
	7	=	228
	7	'2	61
	7	;	303
	8	string	700
	8	=	228
	8	"sada;	57
	9	float	106
	9	d	700
	9	=	228
	9	2.0	800
	9	,	304
	9	e	700
	9	=	228
	9	1.2E-5	800
	9	,	304
	9	f	700
	9	=	228
	9	1Ea	11
	9	+	209
	9	23	400
	9	,	304
	9	g	700
	9	=	228
	9	3.a	11
	9	;	303
	10	c	700
	10	=	228
	10	a	700
	10	+	209
	10	b	700
	10	;	303
	11	e	700
	11	=	228
	11	20	400
	11	-	210
	11	12	400
	11	;	303
	12	d	700
	12	=	228
	12	a	700
	12	->	204
	12	next	700
	12	;	303
	13	for	130
	13	(	200
	13	a	700
	13	=	228
	13	0	400
	13	;	303
	13	a	700
	13	<=	219
	13	n	700
	13	;	303
	13	a	700
	13	++	207
	13	)	201
	13	{	301
	14	printf	700
	14	(	200
	14	"the a is =%d\n"	600
	14	,	304
	14	a	700
	14	)	201
	14	;	303
	15	}	302
	16	if	128
	16	(	200
	16	r	700
	16	>=	221
	16	2	400
	16	)	201
	16	{	301
	17	c	700
	17	=	228
	17	2	400
	17	*	211
	17	pi	700
	17	*	211
	17	r	700
	17	;	303
	18	}	302
	19	printf	700
	19	(	200
	19	"中国"	600
	19	)	201
	19	;	303
	20	}	302
