	行	单词	token
-------------------------------------------
	1	void	124
	1	main	700
	1	(	200
	1	)	201
	1	{	301
	2	int	102
	2	i	700
	2	,	304
	2	j	700
	2	,	304
	2	a	700
	2	,	304
	2	b	700
	2	,	304
	2	c	700
	2	,	304
	2	d	700
	2	,	304
	2	p	700
	2	,	304
	2	g	700
	2	;	303
	3	for	130
	3	(	200
	3	i	700
	3	=	228
	3	a	700
	3	+	209
	3	b	700
	3	*	211
	3	2	400
	3	;	303
	3	i	700
	3	<	218
	3	c	700
	3	+	209
	3	d	700
	3	+	209
	3	10	400
	3	;	303
	3	i	700
	3	=	228
	3	i	700
	3	+	209
	3	1	400
	3	)	201
	4	{	301
	5	for	130
	5	(	200
	5	i	700
	5	=	228
	5	a	700
	5	+	209
	5	b	700
	5	*	211
	5	2	400
	5	;	303
	5	i	700
	5	<	218
	5	c	700
	5	+	209
	5	d	700
	5	+	209
	5	10	400
	5	;	303
	5	i	700
	5	=	228
	5	i	700
	5	+	209
	5	1	400
	5	)	201
	5	{	301
	6	if	128
	6	(	200
	6	j	700
	6	<	218
	6	i	700
	6	)	201
	7	{	301
	8	for	130
	8	(	200
	8	j	700
	8	=	228
	8	i	700
	8	+	209
	8	1	400
	8	;	303
	8	j	700
	8	<	218
	8	10	400
	8	;	303
	8	j	700
	8	++	207
	8	)	201
	9	{	301
	10	j	700
	10	=	228
	10	j	700
	10	*	211
	10	2	400
	10	;	303
	11	}	302
	12	}	302
	13	else	129
	13	{	301
	14	break	117
	14	;	303
	15	}	302
	16	}	302
	17	Demo	700
	17	(	200
	17	a	700
	17	,	304
	17	b	700
	17	)	201
	17	;	303
	18	p	700
	18	=	228
	18	2	400
	18	+	209
	18	p	700
	18	;	303
	20	}	302
	21	g	700
	21	=	228
	21	3	400
	21	;	303
	22	return	123
	22	1	400
	22	;	303
	23	}	302
	26	int	102
	26	Demo	700
	26	(	200
	26	int	102
	26	r	700
	26	,	304
	26	int	102
	26	q	700
	26	)	201
	26	{	301
	27	int	102
	27	i	700
	27	,	304
	27	j	700
	27	,	304
	27	a	700
	27	,	304
	27	b	700
	27	,	304
	27	c	700
	27	,	304
	27	d	700
	27	,	304
	27	p	700
	27	,	304
	27	g	700
	27	;	303
	28	for	130
	28	(	200
	28	i	700
	28	=	228
	28	a	700
	28	+	209
	28	b	700
	28	*	211
	28	2	400
	28	;	303
	28	i	700
	28	<	218
	28	c	700
	28	+	209
	28	d	700
	28	+	209
	28	10	400
	28	;	303
	28	i	700
	28	=	228
	28	i	700
	28	+	209
	28	1	400
	28	)	201
	29	{	301
	30	for	130
	30	(	200
	30	i	700
	30	=	228
	30	a	700
	30	+	209
	30	b	700
	30	*	211
	30	2	400
	30	;	303
	30	i	700
	30	<	218
	30	c	700
	30	+	209
	30	d	700
	30	+	209
	30	10	400
	30	;	303
	30	i	700
	30	=	228
	30	i	700
	30	+	209
	30	1	400
	30	)	201
	30	{	301
	31	if	128
	31	(	200
	31	j	700
	31	<	218
	31	i	700
	31	)	201
	32	{	301
	33	for	130
	33	(	200
	33	j	700
	33	=	228
	33	i	700
	33	+	209
	33	1	400
	33	;	303
	33	j	700
	33	<	218
	33	10	400
	33	;	303
	33	j	700
	33	++	207
	33	)	201
	34	{	301
	35	j	700
	35	=	228
	35	j	700
	35	*	211
	35	2	400
	35	;	303
	36	}	302
	37	}	302
	38	else	129
	38	{	301
	39	break	117
	39	;	303
	40	}	302
	41	}	302
	42	p	700
	42	=	228
	42	2	400
	42	+	209
	42	p	700
	42	;	303
	43	}	302
	44	g	700
	44	=	228
	44	3	400
	44	;	303
	45	return	123
	45	1	400
	45	;	303
	46	}	302
